net,sta,lat,lon,elev,name,t0,t1
Z6,67,47.616648,-122.292779,53.0,Converted from UTM Zone 10N,2019-07-13T15:20:02,2019-08-10T16:24:43
Z6,68,47.615017,-122.292269,84.0,Converted from UTM Zone 10N,2019-07-13T15:59:36,2019-08-10T16:33:38
Z6,69,47.611277,-122.294262,82.0,Converted from UTM Zone 10N,2019-07-13T16:23:11,2019-08-10T16:47:26
Z6,70,47.609835,-122.296796,75.0,Converted from UTM Zone 10N,2019-07-13T17:01:50,2019-08-10T17:01:17
Z6,71,47.607695,-122.294191,87.0,Converted from UTM Zone 10N,2019-07-13T17:46:46,2019-08-10T17:14:10
Z6,72,47.605825,-122.294336,101.0,Converted from UTM Zone 10N,2019-07-13T18:18:36,2019-08-10T17:25:15
Z6,73,47.604728,-122.294483,101.0,Converted from UTM Zone 10N,2019-07-13T20:00:40,2019-08-10T17:35:41
Z6,74,47.602546,-122.293821,96.0,Converted from UTM Zone 10N,2019-07-13T19:00:14,2019-08-10T17:48:51
Z6,75,47.599411,-122.293251,93.0,Converted from UTM Zone 10N,2019-07-14T16:55:03,2019-08-10T18:00:15
Z6,76,47.596494,-122.294368,91.0,Converted from UTM Zone 10N,2019-07-13T20:45:29,2019-08-10T21:53:22
Z6,77,47.594971,-122.294029,85.0,Converted from UTM Zone 10N,2019-07-13T21:26:57,2019-08-10T18:19:21
Z6,78,47.592404,-122.295035,59.0,Converted from UTM Zone 10N,2019-07-13T21:50:59,2019-08-10T18:31:14
Z6,79,47.58935,-122.295834,84.0,Converted from UTM Zone 10N,2019-07-13T22:30:57,2019-08-10T19:12:21
Z6,80,47.588547,-122.294049,67.0,Converted from UTM Zone 10N,2019-07-13T23:45:48,2019-08-10T19:19:34
Z6,81,47.587176,-122.293589,79.0,Converted from UTM Zone 10N,2019-07-14T00:54:19,2019-08-10T19:32:02
Z6,82,47.577747,-122.302479,84.0,Converted from UTM Zone 10N,2019-07-14T00:27:17,2019-08-10T20:20:57
Z6,83,47.573929,-122.300455,55.0,Converted from UTM Zone 10N,2019-07-14T01:32:25,2019-08-10T20:32:13
